41 10   12.8
41 11   13.7
41 12   14.6
41 13   15.4
41 14   16.1
41 15   16.7
41 16   17.3
41 17   17.8
41 18   18.3
41 19   18.7
41 20   19.0
41 21   19.3
41 22   19.5
41 23   19.6
41 24   19.7
41 25   19.7
41 26   19.6
41 27   19.5
41 28   19.3
41 29   19.0
41 30   18.7
41 31   18.3
41 32   17.8
41 33   17.3
41 34   16.7
41 35   16.1
41 36   15.4
41 37   14.6
41 38   13.7
41 39   12.8
41 40   11.8
41 41   10.8
41 42    9.6
41 43    8.5
41 44    7.2
41 45    5.9
41 46    4.5
41 47    3.1
41 48    1.6
41 49    0.0
40 0    0.0
40 1    1.7
40 2    3.4
40 3    5.0
40 4    6.5
40 5    7.9
40 6    9.3
40 7   10.6
40 8   11.8
40 9   13.0
40 10   14.0
40 11   15.0
40 12   16.0
40 13   16.8
40 14   17.6
40 15   18.4
40 16   19.0
40 17   19.6
40 18   20.1
40 19   20.5
40 20   20.9
40 21   21.2
40 22   21.4
40 23   21.5
40 24   21.6
40 25   21.6
40 26   21.5
40 27   21.4
40 28   21.2
40 29   20.9
40 30   20.5
40 31   20.1
40 32   19.6
40 33   19.0
40 34   18.4
40 35   17.6
40 36   16.8
40 37   16.0
40 38   15.0
40 39   14.0
40 40   13.0
40 41   11.8
40 42   10.6
40 43    9.3
40 44    7.9
40 45    6.5
40 46    5.0
40 47    3.4
40 48    1.7
40 49    0.0
39 0    0.0
39 1    1.9
39 2    3.7
39 3    5.4
39 4    7.0
39 5    8.6
39 6   10.1
39 7   11.5
39 8   12.8
39 9   14.0
39 10   15.2
39 11   16.3
39 12   17.3
39 13   18.3
39 14   19.1
39 15   19.9
39 16   20.6
39 17   21.2
39 18   21.8
39 19   22.2
39 20   22.6
39 21   22.9
39 22   23.2
39 23   23.3
39 24   23.4
39 25   23.4
39 26   23.3
39 27   23.2
39 28   22.9
39 29   22.6
39 30   22.2
39 31   21.8
39 32   21.2
39 33   20.6
39 34   19.9
39 35   19.1
39 36   18.3
39 37   17.3
39 38   16.3
39 39   15.2
39 40   14.0
39 41   12.8
39 42   11.5
39 43   10.1
39 44    8.6
39 45    7.0
39 46    5.4
39 47    3.7
39 48    1.9
39 49    0.0
38 0    0.0
38 1    2.0
38 2    3.9
38 3    5.8
38 4    7.5
38 5    9.2
38 6   10.8
38 7   12.3
38 8   13.7
38 9   15.0
38 10   16.3
38 11   17.5
38 12   18.6
38 13   19.6
38 14   20.5
38 15   21.3
38 16   22.1
38 17   22.7
38 18   23.3
38 19   23.8
38 20   24.2
38 21   24.6
38 22   24.8
38 23   25.0
38 24   25.1
38 25   25.1
38 26   25.0
38 27   24.8
38 28   24.6
38 29   24.2
38 30   23.8
38 31   23.3
38 32   22.7
38 33   22.1
38 34   21.3
38 35   20.5
38 36   19.6
38 37   18.6
38 38   17.5
38 39   16.3
38 40   15.0
38 41   13.7
38 42   12.3
38 43   10.8
38 44    9.2
38 45    7.5
38 46    5.8
38 47    3.9
38 48    2.0
38 49    0.0
37 0    0.0
37 1    2.1
37 2    4.2
37 3    6.1
37 4    8.0
37 5    9.8
37 6   11.5
37 7   13.1
37 8   14.6
37 9   16.0
37 10   17.3
37 11   18.6
37 12   19.7
37 13   20.8
37 14   21.8
37 15   22.6
37 16   23.4
37 17   24.2
37 18   24.8
37 19   25.3
37 20   25.8
37 21   26.1
37 22   26.4
37 23   26.6
37 24   26.6
37 25   26.6
37 26   26.6
37 27   26.4
37 28   26.1
37 29   25.8
37 30   25.3
37 31   24.8
37 32   24.2
37 33   23.4
37 34   22.6
37 35   21.8
37 36   20.8
37 37   19.7
37 38   18.6
37 39   17.3
37 40   16.0
37 41   14.6
37 42   13.1
37 43   11.5
37 44    9.8
37 45    8.0
37 46    6.1
37 47    4.2
37 48    2.1
37 49    0.0
36 0    0.0
36 1    2.2
36 2    4.4
36 3    6.5
36 4    8.4
36 5   10.3
36 6   12.1
36 7   13.8
36 8   15.4
36 9   16.8
36 10   18.3
36 11   19.6
36 12   20.8
36 13   21.9
36 14   22.9
36 15   23.9
36 16   24.7
36 17   25.5
36 18   26.1
36 19   26.7
36 20   27.1
36 21   27.5
36 22   27.8
36 23   28.0
36 24   28.1
36 25   28.1
36 26   28.0
36 27   27.8
36 28   27.5
36 29   27.1
36 30   26.7
36 31   26.1
36 32   25.5
36 33   24.7
36 34   23.9
36 35   22.9
36 36   21.9
36 37   20.8
36 38   19.6
36 39   18.3
36 40   16.8
36 41   15.4
36 42   13.8
36 43   12.1
36 44   10.3
36 45    8.4
36 46    6.5
36 47    4.4
36 48    2.2
36 49    0.0
35 0    0.0
35 1    2.4
