41 10    7.7
41 11    8.3
41 12    8.9
41 13    9.4
41 14    9.9
41 15   10.4
41 16   10.8
41 17   11.2
41 18   11.6
41 19   11.8
41 20   12.1
41 21   12.3
41 22   12.4
41 23   12.5
41 24   12.6
41 25   12.6
41 26   12.5
41 27   12.4
41 28   12.3
41 29   12.1
41 30   11.8
41 31   11.6
41 32   11.2
41 33   10.8
41 34   10.4
41 35    9.9
41 36    9.4
41 37    8.9
41 38    8.3
41 39    7.7
41 40    7.0
41 41    6.3
41 42    5.6
41 43    4.8
41 44    4.1
41 45    3.3
41 46    2.5
41 47    1.7
41 48    0.8
41 49    0.0
40 0    0.0
40 1    0.9
40 2    1.8
40 3    2.7
40 4    3.6
40 5    4.5
40 6    5.4
40 7    6.2
40 8    7.0
40 9    7.8
40 10    8.5
40 11    9.2
40 12    9.9
40 13   10.5
40 14   11.0
40 15   11.6
40 16   12.0
40 17   12.5
40 18   12.8
40 19   13.1
40 20   13.4
40 21   13.6
40 22   13.8
40 23   13.9
40 24   14.0
40 25   14.0
40 26   13.9
40 27   13.8
40 28   13.6
40 29   13.4
40 30   13.1
40 31   12.8
40 32   12.5
40 33   12.0
40 34   11.6
40 35   11.0
40 36   10.5
40 37    9.9
40 38    9.2
40 39    8.5
40 40    7.8
40 41    7.0
40 42    6.2
40 43    5.4
40 44    4.5
40 45    3.6
40 46    2.7
40 47    1.8
40 48    0.9
40 49    0.0
39 0    0.0
39 1    1.0
39 2    2.0
39 3    3.0
39 4    4.0
39 5    4.9
39 6    5.9
39 7    6.8
39 8    7.7
39 9    8.5
39 10    9.3
39 11   10.1
39 12   10.8
39 13   11.5
39 14   12.1
39 15   12.6
39 16   13.2
39 17   13.6
39 18   14.0
39 19   14.4
39 20   14.7
39 21   14.9
39 22   15.1
39 23   15.2
39 24   15.3
39 25   15.3
39 26   15.2
39 27   15.1
39 28   14.9
39 29   14.7
39 30   14.4
39 31   14.0
39 32   13.6
39 33   13.2
39 34   12.6
39 35   12.1
39 36   11.5
39 37   10.8
39 38   10.1
39 39    9.3
39 40    8.5
39 41    7.7
39 42    6.8
39 43    5.9
39 44    4.9
39 45    4.0
39 46    3.0
39 47    2.0
39 48    1.0
39 49    0.0
38 0    0.0
38 1    1.1
38 2    2.2
38 3    3.2
38 4    4.3
38 5    5.3
38 6    6.4
38 7    7.3
38 8    8.3
38 9    9.2
38 10   10.1
38 11   10.9
38 12   11.7
38 13   12.4
38 14   13.1
38 15   13.7
38 16   14.2
38 17   14.7
38 18   15.2
38 19   15.6
38 20   15.9
38 21   16.1
38 22   16.3
38 23   16.5
38 24   16.5
38 25   16.5
38 26   16.5
38 27   16.3
38 28   16.1
38 29   15.9
38 30   15.6
38 31   15.2
38 32   14.7
38 33   14.2
38 34   13.7
38 35   13.1
38 36   12.4
38 37   11.7
38 38   10.9
38 39   10.1
38 40    9.2
38 41    8.3
38 42    7.3
38 43    6.4
38 44    5.3
38 45    4.3
38 46    3.2
38 47    2.2
38 48    1.1
38 49    0.0
37 0    0.0
37 1    1.2
37 2    2.3
37 3    3.5
37 4    4.6
37 5    5.7
37 6    6.8
37 7    7.9
37 8    8.9
37 9    9.9
37 10   10.8
37 11   11.7
37 12   12.5
37 13   13.3
37 14   14.0
37 15   14.7
37 16   15.3
37 17   15.8
37 18   16.3
37 19   16.7
37 20   17.0
37 21   17.3
37 22   17.5
37 23   17.6
37 24   17.7
37 25   17.7
37 26   17.6
37 27   17.5
37 28   17.3
37 29   17.0
37 30   16.7
37 31   16.3
37 32   15.8
37 33   15.3
37 34   14.7
37 35   14.0
37 36   13.3
37 37   12.5
37 38   11.7
37 39   10.8
37 40    9.9
37 41    8.9
37 42    7.9
37 43    6.8
37 44    5.7
37 45    4.6
37 46    3.5
37 47    2.3
37 48    1.2
37 49    0.0
36 0    0.0
36 1    1.2
36 2    2.5
36 3    3.7
36 4    4.9
36 5    6.1
36 6    7.2
36 7    8.4
36 8    9.4
36 9   10.5
36 10   11.5
36 11   12.4
36 12   13.3
36 13   14.1
36 14   14.9
36 15   15.6
36 16   16.2
36 17   16.8
36 18   17.3
36 19   17.7
36 20   18.1
36 21   18.4
36 22   18.6
36 23   18.7
36 24   18.8
36 25   18.8
36 26   18.7
36 27   18.6
36 28   18.4
36 29   18.1
36 30   17.7
36 31   17.3
36 32   16.8
36 33   16.2
36 34   15.6
36 35   14.9
36 36   14.1
36 37   13.3
36 38   12.4
36 39   11.5
36 40   10.5
36 41    9.4
36 42    8.4
36 43    7.2
36 44    6.1
36 45    4.9
36 46    3.7
36 47    2.5
36 48    1.2
36 49    0.0
35 0    0.0
35 1    1.3
